,ID,Date,Time,Latitude,Longitude,Detection (ppm),Detection Level,Summary,Image_URL
0,1,12/16/23,06:00:00 AM,35.55407,-92.29872,Detection of big concentration,,No.,https://api.mapbox.com/v4/mapbox.naip/16/15965/25835@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
1,2,12/16/23,06:05:00 AM,35.54314,-92.30743,404.14,Detection of medium concentration,No,https://api.mapbox.com/v4/mapbox.naip/16/15963/25837@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
2,3,12/16/23,06:10:00 AM,35.5473,-92.29971,110.74,Detection of small concentration,No.,https://api.mapbox.com/v4/mapbox.naip/16/15965/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
3,3,12/16/23,06:10:00 AM,35.54721,-92.31036,110.74,Detection of small concentration,No,https://api.mapbox.com/v4/mapbox.naip/16/15963/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
4,3,12/16/23,06:10:00 AM,35.54698,-92.31541,110.74,Detection of small concentration,No.,https://api.mapbox.com/v4/mapbox.naip/16/15962/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
5,3,12/16/23,06:10:00 AM,35.5473,-92.32,110.74,Detection of small concentration,No.,https://api.mapbox.com/v4/mapbox.naip/16/15961/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
6,3,12/16/23,06:10:00 AM,35.5473,-92.325,110.74,Detection of small concentration,No.,https://api.mapbox.com/v4/mapbox.naip/16/15960/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
7,3,12/16/23,06:10:00 AM,35.5473,-92.34,110.74,Detection of small concentration,No,https://api.mapbox.com/v4/mapbox.naip/16/15958/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
8,3,12/16/23,06:10:00 AM,35.5473,-92.345,110.74,Detection of small concentration,No,https://api.mapbox.com/v4/mapbox.naip/16/15957/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
9,3,12/16/23,06:10:00 AM,35.5473,-92.35,110.74,Detection of small concentration,No,https://api.mapbox.com/v4/mapbox.naip/16/15956/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
10,3,12/16/23,06:10:00 AM,35.5473,-92.355,110.74,Detection of small concentration,No,https://api.mapbox.com/v4/mapbox.naip/16/15955/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
11,3,12/16/23,06:10:00 AM,35.5473,-92.36,110.74,Detection of small concentration,No,https://api.mapbox.com/v4/mapbox.naip/16/15954/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
12,3,12/16/23,06:10:00 AM,35.5473,-92.365,110.74,Detection of small concentration,No,https://api.mapbox.com/v4/mapbox.naip/16/15953/25836@2x.png?access_token=pk.eyJ1IjoiYnJhZHlkYXZpcyIsImEiOiJjbHkzaDAyNTIwOGY0MmpwdWY4dGphejBiIn0.pILDooiniqy75LWz5C7yMQ
